﻿Code;Locatie;Datum;Uur5Minuten;Ordening;Totaal;Tegenrichting;Hoofdrichting
COU;Coupure-Links;2021-03-01;11:15:00;2021-03-01T11:15:00+01:00;32;18;14
COU;Coupure-Links;2021-03-01;11:20:00;2021-03-01T11:20:00+01:00;16;8;8
COU;Coupure-Links;2021-03-01;11:25:00;2021-03-01T11:25:00+01:00;23;13;10
COU;Coupure-Links;2021-03-01;11:30:00;2021-03-01T11:30:00+01:00;21;8;13
COU;Coupure-Links;2021-03-01;11:35:00;2021-03-01T11:35:00+01:00;14;7;7
COU;Coupure-Links;2021-03-01;11:40:00;2021-03-01T11:40:00+01:00;19;10;9
COU;Coupure-Links;2021-03-01;11:45:00;2021-03-01T11:45:00+01:00;24;12;12
COU;Coupure-Links;2021-03-01;11:50:00;2021-03-01T11:50:00+01:00;23;14;9
COU;Coupure-Links;2021-03-01;11:55:00;2021-03-01T11:55:00+01:00;20;10;10
COU;Coupure-Links;2021-03-01;12:00:00;2021-03-01T12:00:00+01:00;33;24;9
COU;Coupure-Links;2021-03-01;12:05:00;2021-03-01T12:05:00+01:00;31;12;19
COU;Coupure-Links;2021-03-01;12:10:00;2021-03-01T12:10:00+01:00;18;8;10
COU;Coupure-Links;2021-03-01;12:15:00;2021-03-01T12:15:00+01:00;37;20;17
COU;Coupure-Links;2021-03-01;12:20:00;2021-03-01T12:20:00+01:00;42;18;24
COU;Coupure-Links;2021-03-01;12:25:00;2021-03-01T12:25:00+01:00;28;12;16
COU;Coupure-Links;2021-03-01;12:30:00;2021-03-01T12:30:00+01:00;27;10;17
COU;Coupure-Links;2021-03-01;12:35:00;2021-03-01T12:35:00+01:00;33;11;22
COU;Coupure-Links;2021-03-01;12:40:00;2021-03-01T12:40:00+01:00;20;11;9
COU;Coupure-Links;2021-03-01;12:45:00;2021-03-01T12:45:00+01:00;27;13;14
COU;Coupure-Links;2021-03-01;12:50:00;2021-03-01T12:50:00+01:00;38;23;15
COU;Coupure-Links;2021-03-01;12:55:00;2021-03-01T12:55:00+01:00;35;19;16
COU;Coupure-Links;2021-03-01;13:00:00;2021-03-01T13:00:00+01:00;27;15;12
COU;Coupure-Links;2021-03-01;13:05:00;2021-03-01T13:05:00+01:00;27;16;11
COU;Coupure-Links;2021-03-01;13:10:00;2021-03-01T13:10:00+01:00;39;25;14
COU;Coupure-Links;2021-03-01;13:15:00;2021-03-01T13:15:00+01:00;42;24;18
COU;Coupure-Links;2021-03-01;13:20:00;2021-03-01T13:20:00+01:00;30;15;15
COU;Coupure-Links;2021-03-01;13:25:00;2021-03-01T13:25:00+01:00;17;11;6
COU;Coupure-Links;2021-03-01;13:30:00;2021-03-01T13:30:00+01:00;37;22;15
COU;Coupure-Links;2021-03-01;13:35:00;2021-03-01T13:35:00+01:00;19;9;10
COU;Coupure-Links;2021-03-01;13:40:00;2021-03-01T13:40:00+01:00;26;15;11
COU;Coupure-Links;2021-03-01;13:45:00;2021-03-01T13:45:00+01:00;29;14;15
COU;Coupure-Links;2021-03-01;13:50:00;2021-03-01T13:50:00+01:00;23;14;9
COU;Coupure-Links;2021-03-01;13:55:00;2021-03-01T13:55:00+01:00;22;12;10
COU;Coupure-Links;2021-03-01;14:00:00;2021-03-01T14:00:00+01:00;26;14;12
COU;Coupure-Links;2021-03-01;14:05:00;2021-03-01T14:05:00+01:00;24;8;16
COU;Coupure-Links;2021-03-01;14:10:00;2021-03-01T14:10:00+01:00;25;12;13
COU;Coupure-Links;2021-03-01;14:15:00;2021-03-01T14:15:00+01:00;22;15;7
COU;Coupure-Links;2021-03-01;14:20:00;2021-03-01T14:20:00+01:00;31;20;11
COU;Coupure-Links;2021-03-01;14:25:00;2021-03-01T14:25:00+01:00;8;3;5
COU;Coupure-Links;2021-03-01;14:30:00;2021-03-01T14:30:00+01:00;33;16;17
COU;Coupure-Links;2021-03-01;14:35:00;2021-03-01T14:35:00+01:00;26;12;14
COU;Coupure-Links;2021-03-01;14:40:00;2021-03-01T14:40:00+01:00;28;16;12
COU;Coupure-Links;2021-03-01;14:45:00;2021-03-01T14:45:00+01:00;27;13;14
COU;Coupure-Links;2021-03-01;14:50:00;2021-03-01T14:50:00+01:00;41;19;22
COU;Coupure-Links;2021-03-01;14:55:00;2021-03-01T14:55:00+01:00;35;17;18
COU;Coupure-Links;2021-03-01;15:00:00;2021-03-01T15:00:00+01:00;25;8;17
COU;Coupure-Links;2021-03-01;15:05:00;2021-03-01T15:05:00+01:00;48;29;19
COU;Coupure-Links;2021-03-01;15:10:00;2021-03-01T15:10:00+01:00;35;12;23
COU;Coupure-Links;2021-03-01;15:15:00;2021-03-01T15:15:00+01:00;37;24;13
COU;Coupure-Links;2021-03-01;15:20:00;2021-03-01T15:20:00+01:00;44;24;20
COU;Coupure-Links;2021-03-01;15:25:00;2021-03-01T15:25:00+01:00;37;21;16
COU;Coupure-Links;2021-03-01;15:30:00;2021-03-01T15:30:00+01:00;41;17;24
COU;Coupure-Links;2021-03-01;15:35:00;2021-03-01T15:35:00+01:00;52;25;27
COU;Coupure-Links;2021-03-01;15:40:00;2021-03-01T15:40:00+01:00;79;16;63
COU;Coupure-Links;2021-03-01;15:45:00;2021-03-01T15:45:00+01:00;96;21;75
COU;Coupure-Links;2021-03-01;15:50:00;2021-03-01T15:50:00+01:00;72;23;49
